Type	String	Frequency	OMOP_ID	OMOP_Name
Procedure	magnetic resonance imaging	29	4013636	Magnetic resonance imaging
Procedure	surgically sterile	29	4215685	Past history of procedure
Procedure	transplant	29	4300185	Transplantation
Procedure	tubal ligation	29	4117038	Bilateral tubal ligation
Condition	active hepatitis	28	4026125	Chronic active hepatitis
Condition	bacterial pneumonia	28	257315	Bacterial pneumonia
Condition	diagnosis of sars-cov-2 infection	28	703439	Taking of swab for SARS-CoV-2
Condition	dry cough	28	4038519	Dry cough
Condition	inflammatory bowel disease	28	4074815	Inflammatory bowel disease
Condition	pulmonary hypertension	28	4322024	Pulmonary hypertension
Condition	trauma	28	32207	Trauma
Drug	flecainide	28	135486	flecainide
Drug	immunosuppressive agents	28	3186744	Ongoing treatment with immunosuppressive agents
Drug	interferon	28	35804629	Interferons
Drug	potassium	28	19049024	potassium
Measurement	cockcroft-gault	28	45766326	Cockcroft-Gault formula
Measurement	new york heart association classification	28	4223299	New York Heart Association Classification
Measurement	serum creatinine	28	4013964	"Creatinine measurement, serum"
Observation	employed	28	407634	Employed
Observation	or	28	46237515	OR
Procedure	bone marrow transplantation	28	4028623	Transplantation of bone marrow
Condition	addiction	27	4139144	Addiction
Condition	anosmia	27	4185711	Loss of sense of smell
Condition	injury	27	432795	Traumatic AND/OR non-traumatic injury
Condition	multiple organ dysfunction	27	4212484	Multiple organ failure
Condition	viral	27	140641	Verruca vulgaris
Measurement	cd4 antigens	27	4081164	Lymphocyte antigen CD4
Measurement	viral load	27	4215562	Viral load
Observation	expected survival	27	2720513	A moribund patient who is not expected to survive without the operation
Condition	acute myocardial infarction	26	312327	Acute myocardial infarction
Condition	angioedema	26	432791	Angioedema
Condition	myasthenia gravis	26	76685	Myasthenia gravis
Condition	nausea	26	31967	Nausea
Condition	pneumothorax	26	253796	Pneumothorax
Condition	psychosis	26	436073	Psychotic disorder
Drug	investigational agent	26	429709	Evaluation procedure
Drug	lactate	26	4306137	Lactate
Observation	caregiver	26	4046033	Caregiver
Procedure	radiograph	26	4106628	Radiographic
Condition	arrhythmia	25	44784217	Cardiac arrhythmia
Condition	bipolar	25	4128935	Bipolar
Condition	chronic renal failure	25	198185	Chronic renal failure
Condition	hepatitis	25	19499	Inflammatory disease of liver
Condition	malignant tumors	25	439392	Primary malignant neoplasm
Condition	respiratory infection	25	4170143	Respiratory tract infection
Drug	aspirin	25	1112807	aspirin
Drug	ivermectin	25	1784444	ivermectin
Measurement	covid-19 test	25	37311061	Disease caused by 2019-nCoV
Measurement	sodium	25	19136048	sodium
Procedure	ultrasound	25	36310597	Ultrasounds
Condition	acute respiratory failure	24	319049	Acute respiratory failure
Condition	bacterial infection	24	432545	Bacterial infectious disease
Condition	chronic disease	24	443783	Chronic disease
Condition	fungal infection	24	433701	Mycosis
Condition	other conditions	24	138443	Other: Other Conditions
Condition	tachypnea	24	317376	Tachypnea
Condition	tumor	24	45880757	Tumor
Drug	immunomodulatory drugs	24	35807403	Immunomodulatory drugs (IMiDs)
Drug	rituximab	24	1314273	rituximab
Drug	tacrolimus	24	950637	tacrolimus
Measurement	clinical laboratory tests	24	42739976	Repeat Clinical Diagnostic Laboratory Test
Measurement	mean arterial pressure	24	4150345	Decreased mean arterial pressure
Observation	healthcare worker	24	45884068	Healthcare worker
Observation	travel	24	4043522	Traveling
Procedure	method of birth control	24	3002644	Birth control method - Reported
Procedure	solid organ transplantation	24	4208341	Solid organ transplant
Condition	cardiomyopathy	23	321319	Cardiomyopathy
Condition	cystic fibrosis	23	441267	Cystic fibrosis
Condition	other infection	23	35917477	Other infection
Condition	seizures	23	377091	Seizure
Condition	severe hepatic impairment	23	457659	Severe cognitive impairment
Drug	angiotensin ii receptor antagonist	23	4253605	Angiotensin II receptor antagonist
Drug	immunosuppressive drugs	23	45768802	Immunosuppressant drug therapy
Drug	propafenone	23	1353256	propafenone
Drug	vitamin d	23	19009405	vitamin D
Observation	legal guardian	23	4242424	Legal guardian
Procedure	endotracheal intubation	23	4013354	Insertion of endotracheal tube
Procedure	high flow oxygen	23	4139525	High flow oxygen nasal cannula
Condition	cardiac disease	22	321588	Heart disease
Condition	cardiac failure	22	316139	Heart failure
Condition	contra-indication	22	4253634	Contraindicated
Condition	hypotension	22	317002	Low blood pressure
Condition	primary immunodeficiency	22	4239314	Primary immune deficiency disorder
Condition	renal disease	22	198124	Kidney disease
Drug	antibiotics	22	3580636	Antibiotics
Drug	clarithromycin	22	17505	clarithromycin
Drug	corticosteroid	22	21601607	Corticosteroids
Measurement	international normalized ratio	22	4306239	International normalized ratio
Measurement	partial pressure of arterial oxygen to fraction of inspired oxygen ratio	22	4233883	Ratio of arterial oxygen tension to inspired oxygen fraction
Measurement	vital signs	22	4181663	Observable entity
Observation	palliative care	22	4014023	Palliative care
Procedure	bone marrow transplant	22	4028623	Transplantation of bone marrow
Condition	acquired immunodeficiency syndrome	21	4267414	AIDS
Condition	cardiac arrest	21	321042	Cardiac arrest
Condition	febrile	21	437663	Fever
Condition	hiv seropositivity	21	4013106	HIV positive
Condition	mental illness	21	4214703	Mental illness
Condition	respiratory disease	21	320136	Disorder of respiratory system
Condition	syphilis	21	436033	Syphilis
Drug	erythromycin	21	174694	erythromycin
Observation	blood donation	21	40973	Whole blood unit collection
Procedure	periodic abstinence	21	45882909	Abstinence
Procedure	surgical sterilization	21	4215685	Past history of procedure
Condition	anemia	20	439777	Anemia
Condition	atrial fibrillation	20	313217	Atrial fibrillation
Condition	bradycardia	20	4169095	Bradycardia
Condition	confirmed covid-19 infection	20	37311061	Disease caused by 2019-nCoV
Condition	confusion	20	4164633	Clouded consciousness
Condition	deep vein thrombosis	20	4133004	Deep venous thrombosis
Condition	emphysema	20	261325	Pulmonary emphysema
Condition	fungal	20	432602	Fungal meningitis
Condition	fungal infections	20	433701	Mycosis
Condition	intracranial hemorrhage	20	439847	Intracranial hemorrhage
Condition	lung cancer	20	258369	Primary malignant neoplasm of lung
Condition	severe renal impairment	20	4030518	Renal impairment
Condition	urticaria	20	1399	Urticaria
Drug	blood product	20	413266	Blood product
Drug	calcium	20	19018544	calcium
Drug	pooled immunoglobulin	20	4239521	Pool
Measurement	child-pugh score	20	37016292	Child-Pugh score
Measurement	hepatitis b surface antigen	20	528323	hepatitis B surface antigen vaccine
Measurement	negative urine pregnancy test	20	4055286	Urine pregnancy test negative
Measurement	neutrophils	20	3630868	Neutrophils
Measurement	p/f ratio	20	4405019	Lisinopril 20 MG Oral Tablet [Ratio-Lisinopril P] by TEVA
Procedure	tracheostomy	20	4168133	Incision of trachea
Condition	acute coronary syndrome	19	421514	Acute coronary syndrome
Condition	bipolar disorder	19	436665	Bipolar disorder
Condition	bleeding disorder	19	432585	Blood coagulation disorder
Condition	chronic pulmonary disease	19	315831	Chronic pulmonary heart disease
Condition	chronic respiratory failure	19	314971	Chronic respiratory failure
Condition	contraindicated	19	45882797	Contraindicated
Condition	lymphopenia	19	441541	Lymphocytopenia
Condition	malignancies	19	4066212	Malignant
Condition	non-invasive	19	4331909	Non-invasive
Condition	severe respiratory failure	19	46273014	Spinal muscular atrophy with respiratory distress type 1
Drug	biologics	19	4029802	Biologic
Drug	hormonal contraceptives	19	4027509	Contraception
Drug	phenytoin	19	74091	phenytoin
Drug	renal replacement therapy	19	37018292	Continuous renal replacement therapy
Drug	ruxolitinib	19	40244464	ruxolitinib
Drug	siltuximab	19	44818461	siltuximab
Drug	sotalol	19	1370109	sotalol
Measurement	child pugh score	19	37016292	Child-Pugh score
Measurement	ejection fraction	19	4323433	Cardiac ejection fraction
Procedure	chest ct	19	3027941	CT Chest
Procedure	continuous renal replacement therapy	19	37018292	Continuous renal replacement therapy
Procedure	pacemaker	19	36310218	Pacemaker
Condition	anxiety	18	441542	Anxiety
Condition	arrhythmias	18	44784217	Cardiac arrhythmia
Condition	chronic diseases	18	443783	Chronic disease
Condition	glucose-6-phosphate dehydrogenase ( g6pd ) deficiency	18	405062	Deficiency of glucose-6-phosphate dehydrogenase
Condition	heterosexual	18	4069091	Heterosexual
Condition	interstitial lung disease	18	4119786	Interstitial lung disease
Condition	ischemic heart disease	18	4185932	Ischemic heart disease
Condition	loss of taste	18	4289517	Loss of taste
Condition	malignant tumor	18	439392	Primary malignant neoplasm
Condition	menopause	18	4059477	Menopause
Condition	mild symptoms	18	4037484	Symptom mild
Condition	moderate illness	18	4192174	Illness
Condition	other organ failure	18	4212484	Multiple organ failure
Condition	plasma	18	4178303	Plasma
Condition	pulmonary fibrosis	18	4197819	Fibrosis of lung
Condition	renal insufficiency	18	4030518	Renal impairment
Condition	sars cov-2	18	703439	Taking of swab for SARS-CoV-2
Condition	serious medical condition	18	4178614	Serious
Drug	ketoconazole	18	985708	ketoconazole
Drug	mefloquine	18	19000498	mefloquine
Measurement	laboratory test	18	403485	Laboratory test
Measurement	polymerase chain reaction ( pcr ) test	18	35923655	"Positive, Reverse Transcriptase Polymerase Chain Reaction (RT-PCR) test"
Measurement	rt-pcr for ebola virus in the blood	18	37044592	Ebola virus RNA | Blood | Microbiology
Observation	survival	18	4048295	Survival time
Procedure	surgically	18	4307649	Surgical
Condition	co-morbidities	17	4160039	Co-morbid conditions
Condition	congenital	17	411683	Congenital
Condition	latent tuberculosis	17	4003404	Inactive tuberculosis
Condition	retinal disease	17	378416	Retinal disorder
Condition	schizophrenia	17	435783	Schizophrenia
Condition	sputum production	17	319052	Increased sputum production
Condition	substance abuse	17	4279309	Substance abuse
Condition	transient ischemic attack	17	373503	Transient cerebral ischemia
Drug	cimetidine	17	997276	cimetidine
Drug	citalopram	17	797617	citalopram
Drug	cyclophosphamide	17	1310317	cyclophosphamide
Drug	domperidone	17	19037833	domperidone
Drug	interferons	17	35804629	Interferons
Drug	norepinephrine	17	1321341	norepinephrine
Measurement	croatia	17	4329601	Croatia
Measurement	lymphocyte count	17	4254663	Lymphocyte count
Measurement	test for covid-19	17	37311061	Disease caused by 2019-nCoV
Measurement	time	17	4253759	Time
Observation	school	17	4144287	Schooling
Condition	acute respiratory infection	16	4112341	Acute respiratory infections
Condition	bleeding disorders	16	432585	Blood coagulation disorder
Condition	child bearing potential	16	4142985	Female of child bearing age
Condition	confirmed sars-cov-2 infection	16	703439	Taking of swab for SARS-CoV-2
Condition	consolidation	16	4319884	Consolidation
Condition	deep venous thrombosis	16	4133004	Deep venous thrombosis
Condition	encephalopathy	16	372887	Disorder of brain
Condition	guillain-barré syndrome	16	416477	Guillain-Barré syndrome
Condition	iga deficiency	16	4163333	Immunoglobulin A deficiency
Condition	kidney disease	16	198124	Kidney disease
Condition	life-threatening disease	16	40483553	Life threatening severity
Condition	menses	16	4224178	Menstrual period late
Condition	moderate disease	16	1177254	Moderate disease
Condition	multi-organ failure	16	4212484	Multiple organ failure
Condition	multiple organ failure	16	4212484	Multiple organ failure
Condition	multiple sclerosis	16	374919	Multiple sclerosis
Condition	myocarditis	16	314383	Myocarditis
Condition	nasal congestion	16	4195085	Nasal congestion
Condition	seizure disorder	16	4029498	Seizure disorder
Condition	volume overload	16	3668485	Cardiac volume overload
Drug	antiviral drugs	16	44378	Poisoning by antiviral drug
Drug	herbal	16	36444848	Herbal
Drug	ingredients	16	1912789	inert ingredients
Drug	mycophenolate	16	190689	mycophenolate
Drug	other agents	16	715764	Other hematological agents
Drug	phenobarbital	16	734275	phenobarbital
Drug	rivaroxaban	16	40241331	rivaroxaban
Drug	tamoxifen	16	1436678	tamoxifen
Drug	urine	16	4299925	Urine
Measurement	intensive care unit	16	4148981	Intensive care unit
Measurement	neutrophil count	16	4148615	Neutrophil count
Measurement	sequential organ failure assessment scores	16	36684937	Sequential organ failure assessment score
Measurement	testing for covid-19	16	37311061	Disease caused by 2019-nCoV
Observation	diet	16	42575912	Diet
Observation	fertile	16	4023221	Fertilizer
Observation	household contact	16	4053939	Burning due to contact with hot household appliances
Procedure	long-term oxygen therapy	16	4072513	Long-term oxygen therapy
Condition	abdominal pain	15	200219	Abdominal pain
