conditionOMOPID,conditionOMOPName
3023106,Adverse event following prior vaccination [Complex] Brother Set
257007,Allergic rhinitis
4170661,Allergy to lanatoside C
373182,Amyotrophic lateral sclerosis
442165,Loss of appetite
21603907,Tumor necrosis factor alpha (TNF-a) inhibitors
442077,Anxiety disorder
137829,Aplastic anemia
26188,Atelectasis
316135,Atrioventricular block
3025085,Axillary temperature
4129644,Definitive
4236311,Bilateral pneumonia
402878,Blood dyscrasia puerperal
4119939,Bronchopleural fistula
134765,Cachexia
42593429,Cardiogenic pulmonary edema
198571,Cardiogenic shock
376713,Cerebral hemorrhage
35936174,Cervix
3027941,CT Chest
4034235,Tight chest
4177862,Chronic hypoxemic respiratory failure
4073287,Chronic infectious disease
436096,Chronic pain
195596,Chronic pancreatitis
36712853,SARS (severe acute respiratory syndrome) confirmed
4016045,Diabetic - good control
4016922,Poor hypertension control
46271778,Cytokine release syndrome
4084407,Deficiency
42538084,Dental
37394268,Coronavirus nucleic acid detection assay
4323272,Narcotic drug user
433595,Edema
373189,Encephalomyelitis
46237636,Injury-Facial Trauma
4217808,Fracture
42656,Gastric ulcer
437541,Glaucoma
4098477,Glucose-galactose malabsorption
4076624,Are you covered by health insurance or some other kind of health care plan [PhenX]
36716893,Fear of hematological disease
437312,Bleeding
4277276,Veno-occlusive disease of the liver
4001171,Liver cell carcinoma
4104935,High infection risk sample
45765456,Hyperferritinemia cataract syndrome
43461,Hyperkalemia
432867,Hyperlipidemia
36713473,"Congenital cataract, hypertrophic cardiomyopathy, mitochondrial myopathy syndrome"
4147761,Hyperuricemia
36310651,Increased risk
4140465,At increased risk of bleeding from aspirin therapy
4123444,Intracranial
3671729,Invasive fungal infection
77074,Joint pain
4029735,Disorder of carbohydrate absorption
4311843,Language barrier
439846,Left heart failure
4076862,Transplantation of liver
45882967,Lost
4175297,Lower respiratory tract infection
4104537,Therapeutic pneumothorax
43533366,Clinician treating major depressive disorder communicates to clinician treating comorbid condition
438067,Malaria
3046098,Medical problem
40277917,Intellectual disability
318736,Migraine
4175485,Myeloproliferative disorder
4361,Narcolepsy
44804014,Healthy eating - National Public Health Classification
4144262,Family history of neoplasm
438112,Neoplastic disease
195314,Nephrotic syndrome
4116861,Neuromyopathy
19025274,oxygen
4048295,Survival time
4147218,Swallowing painful
45875989,Organ transplant
80502,Osteoporosis
437222,Respiratory syncytial virus infection
440985,Phobia
4010833,Pre-existing condition
764222,Probable
4296445,Protein C deficiency disease
435853,Pulmonary alveolar proteinosis
377793,Rabies
4114505,Relapsing course
4118795,Renal artery stenosis
40484652,Analysis using reverse transcriptase PCR
4345578,Rhabdomyolysis
4320791,Rhinitis
4214014,Risk factor
4273323,Rubella
45884704,Heart condition
45880544,Serious mental illness
42599713,Feline lower airway disease
4576873,Severe acute respiratory infection
4352876,Liver damage
44805371,Severe lower urinary tract symptoms
4192296,On severe mental illness register
37394658,Severe sepsis
36716406,Severe fever with thrombocytopenia syndrome virus
38001664,Multiple Significant Trauma
4186397,Myocardial ischemia
4273632,Right ventricular failure
4283893,Sinusitis
4306942,Social status
46284866,Malignant melanoma stage IV M1c
45765577,Requires oxygen therapy during exercise
40479411,Suspected clinical finding
756083,Suspected exposure to Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
4432,Nervous system symptoms
2720255,TERMINAL DEVICE
443904,Transverse myelopathy syndrome
4132546,Traumatic brain injury
1704183,lamivudine
1003402,Hemodynamics
45771048,Untreated water specimen
373786,Abnormal vision
138502,Vitiligo
4229881,Weight loss
45878816,Absorptive
435517,Acidosis
4332992,Active drug dependence
43104,Acute appendicitis
4096326,Active rheumatic fever
427145,Acute infectious disease
304501,Monitoring of acute medical condition [Minimum Data Set]
4189939,Acute myocardial ischemia
4096946,Acute dermatitis
4307774,Acute lower respiratory tract infection
257011,Acute upper respiratory infection
903279,Advanced Heart Failure and Transplant Cardiology
201612,Alcoholic liver damage
21021523,Cellulose Injectable Solution [Care Allergy Defence]
13328,Alopecia
192275,Alpha-1-antitrypsin deficiency
437082,Ankylosing spondylitis
436675,Anorexia nervosa
440424,Aphasia
36310492,Apheresis
4278217,Arterial thrombosis
434281,Aspergillosis
257581,Exacerbation of asthma
4106203,Gastrointestinal and digestive injury
192675,Biliary cirrhosis
411311,Carcinoma of bladder
4131124,Bone marrow disorder
4048809,Brainstem death
457714,Raloxifene not tolerated
4287106,Carcinoma
2313789,"Cardiopulmonary resuscitation (eg, in cardiac arrest)"
4029023,Metastasizing leiomyoma
35624757,Neutropenia due to and following chemotherapy
4308329,Blunt injury of thorax
4194112,Acquired pectus excavatum
434272,Varicella
46271813,Child-Pugh score class C
4037323,Chlamydia
4013868,Chlamydophila pneumoniae
195856,Cholangitis
400061,Disorder of gastrointestinal tract
4055225,Toxic liver disease with chronic lobular hepatitis
4340386,Alcoholic hepatic failure
257012,Chronic sinusitis
44793163,Chronic obstructive pulmonary disease structured smoking assessment declined - enhanced services administration
4012113,Chronic viral hepatitis
4185006,Number of appointments attended
42742412,Symptoms demonstrated clinically important deterioration since last assessment (HF)
37396726,Cognitive communication disorder
40480615,Cognitive disorder
380834,Coma
45879843,Small bowel obstruction/partial or complete
4207184,Bacterial respiratory infection
416341,Divergent concomitant strabismus
440508,Congenital disease
379019,Conjunctivitis
4016041,Diabetic on diet only
4022071,Convalescence
41939861,Cures
4169923,Decision status
37016192,Cognitive deficit in attention
4017171,Cardiac: dubious diagnostic criteria
4159131,Dyslipidemia
378143,Encephalitis
440023,St. Louis encephalitis virus infection
441589,Endocarditis
45883439,Endometrial cancer
438411,Endophthalmitis
4046629,Etiology
4588274,Frequent or severe headaches
4049965,Fungal pneumonia
40757687,Health conditions
423966,Familial hemorrhagic diathesis
4244873,Congenital viral hepatitis B infection
4074666,High frequency oscillatory ventilation
312938,Hypertensive encephalopathy
4142479,Hyperthyroidism
435371,Hypothermia
4143732,Illicit medication use
4029783,Partial seizure with impaired consciousness
400217,Age-related inability to receive treatment
4215915,Inadequate
4238923,Incarcerated
4077285,Increased nutritional requirement
4319159,Influenza-like illness
4041136,Intellectual functioning disability
722424,interferon beta-1a
4264974,Intracerebral vascular observable
4116092,Intracranial tumor
4200991,Ischemia
20162,Kidney stone
4029736,Lactase deficiency
4085156,Developmental academic disorder
432984,Legal problem
173817,lopinavir
4119538,Lower respiratory sample
4337138,Transplant of lung
4223853,Lymphoproliferative disease
4079147,Lymphoproliferative disorder
4233116,Macular rash
440285,Malignant hyperthermia
4312326,"Neoplasm, malignant"
405163,Malingering
4030555,Measles
4162276,Malignant melanoma
706537,Mental health
43667,Metabolic disease
40757668,Metabolic
36311298,Metastatic Malignancy
432882,Methemoglobinemia
4116992,Mild
4067106,Miscarriage
81539,Mitochondrial cytopathy
703446,Moderate risk category for developing complication from COVID-19 infection
4285732,Moderate
4002359,Monoclonal gammopathy
4108234,Multiple valve disease
37204304,Implantation procedure
4034215,Mycobacterium tuberculosis
4162434,Infection due to Mycobacterium tuberculosis
4369,Mycoplasma infection
43012151,Mycoplasma pneumoniae
138994,Myelodysplastic syndrome
3002741,N-ethylnicotinamide [Mass] of Dose
4122259,Nasopharyngeal swab
35940172,State death certificate not available
515671,Neisseria meningitidis
36309562,Other neurological conditions
36308796,Neurological disorder
1002237,New York Heart Association Functional Classification panel
407963,Non-urgent trauma admission
4298168,Evoked potential
19296,Noninfectious gastroenteritis
406959,Normal
434942,Orbital cellulitis
141663,Osteomyelitis
2212357,"Glucose, body fluid, other than blood"
4266931,Restrictive lung disease
443774,"Disease condition determination, uncontrolled"
4232657,Vascular stent
4183452,Otitis
432881,Pancytopenia
4024248,Transfusion of cryo-poor plasma
4048659,Exudative eczema
4112266,Postpartum
42539186,Pre-existing maternal disease complicating pregnancy
4238439,Previous
704995,Patient meets COVID-19 clinical diagnostic criteria
4165434,"Physical condition, moderate psychological component"
4239757,Psychotic symptom
4178585,Rheumatic pulmonary valve failure
4167085,Pulmonary heart disease
4077821,Refractory shock
4236332,Primary restrictive cardiomyopathy
138845,Rheumatism
4223626,Catheterization of right heart
4204819,Secondary bacterial pneumonia
4226672,Symptom severity level
4306575,Anoxic-ischemic encephalopathy
36304653,History of Severe bleeding related to aspirin use
4228456,Central nervous system stage B2 in retinoblastoma
4143915,Cholestasis
4022772,Condition severity
4013643,Pulmonary arterial hypertension
4347293,Severe systemic illness respiratory muscle fatigue
4088744,Severe adrenal insufficiency
4036771,Symptom severe
4229721,Blood transfusion reaction status
4297823,Alopecia due to underlying disease
44791873,Significant carrier of disorder
436234,Transitory neonatal electrolyte disturbance
4158829,Identification of physical alterations that may affect procedure-specific positioning
4168694,Lung field abnormal
201093,Infection of skin and/or subcutaneous tissue
4316083,Skin lesion
4110591,Small cell carcinoma of lung
45876308,Stem Cell Transplant
46273635,Steroid dependent asthma
443213,Stillbirth
4080762,Psychoactive substance dependence
4132309,Sudden death
4217851,Suspected
45763724,Suspected coronavirus infection
42943,Hereditary periodic fever
4206788,Systemic disease
4178818,Inflammation of specific body systems
44783556,Radiation induced taste impairment
4293435,Decorative tattoo
43574,Tetanus
412565,Thrombophilia
133444,Thyroiditis
35625873,Lyell syndrome
36674407,Traumatic event
4082732,TB chemotherapy
4090378,Clinical drug trial
4168031,Unconscious
4082253,Unstable hemoglobin disease
132736,Bacteremia
4144375,Active immunization
4265433,Visual impairment
4123149,Vital organ failure
21498858,Extracorporeal life support (ECLS)/Extracorporeal membrane oxygenation (ECMO)
4229262,Wilson's disease
44121,Yellow fever
201627,Abnormal vaginal bleeding
4043597,Semen exam: abnormal
40488434,Medication dose too low
40768529,Acceptance status
4060989,On examination - accessory respiratory muscles used
4310717,Acidithiobacillus
45766602,Acquired angioedema due to lymphoproliferative disorder
40493262,Infectious disease associated with acquired immune deficiency syndrome
4268323,Hepatitis C virus
1501761,Antivirals for treatment of HCV infections
3035655,Shortness of breath with activity [HIV-SSC]
4167284,Allergy to activated charcoal
3016107,History of Seizure activity disorders
4164431,Acute bleeding ulcer
4236854,Cardiovascular event
4164092,Acute cerebrovascular insufficiency
198809,Acute cholecystitis
756023,Acute bronchitis due to COVID-19
4237144,End organ deafness
45877921,Acute mental/behavioral health problem
4132088,Acute heart disease
138708,Acute leukemia
4026032,Acute hepatic failure
434152,Acute interstitial pneumonia
45768439,Acute pulmonary embolism
36210151,Acute onset and chronic respiratory conditions
4006969,Acute respiratory disease
4029372,Acute ulcerative colitis
42059663,Ada
4041283,General finding of observation of patient
4024567,Respiratory finding
4313284,Hematologic function
193165,Disorder of adrenal gland
42059715,Advance
195556,Hypertensive heart AND renal disease
415723,Alcohol use disorders identification test
43873,Alkalosis
2616644,"Cough stimulating device, alternating positive and negative airway pressure"
4023026,Complementary therapy
4086499,Central alveolar hypoventilation syndrome
75048,Interstitial myositis
4190567,Prescription by another organization
4212786,Puncture of artery
4291025,Arthritis
440321,Helicobacter-associated disease
41972679,Atting
4173765,Atonic seizure
4051466,Childhood asthma
4050869,Atypical pneumonia
439776,Autism spectrum disorder
4116649,Bacterial endocarditis
4290437,Basosquamous carcinoma
4028389,Infectious disease of lung
4001776,Patchy
4003673,Obstructive biliary cirrhosis
40748202,xylometazoline Nasal Spray [Sudafed Blocked Nose]
4024656,Transfusion of blood product
4150754,Total body pain syndrome
4145877,Closure of perforated bowel ulcer
4133611,Traumatic AND/OR non-traumatic brain injury
4587796,Adult Brain Injury/Spinal Cord Injury Rehabilitation Unit
4323144,Bruit
442013,Burn
1510417,cannabidiol
4088365,Cardiac conduction
31845,Cardiac tamponade
430932,Transplanted organ rejection
3593386,Central nervous system
413412,Cerebral palsy
4156363,Event
195598,Chronic uterine inflammatory disease
4059284,Cirrhosis and chronic liver disease
4050929,FH: Skin disease
4226694,Chronic somatic dysfunction
4133035,Chronic pelvic pain without obvious pathology
417967,Chronic respiratory insufficiency
133861,Cleft lip
40493286,Clinically isolated syndrome
432863,Acquired coagulation factor deficiency
4162723,Cognitive function finding
4588327,Cognitive problems
1975,Primary malignant neoplasm of colon
36683531,Malignant neoplasm of colon and/or rectum
260427,Common cold
412738,Difficulty communicating
4293463,Community acquired pneumonia
37118653,Diverticulitis of large intestine with complication
4141769,Immunization contraindicated
443617,Conduct disorder
411978,Congenital arteriovenous malformation
4312098,Congestion
253549,Disorder of connective tissue
4100068,Wakefulness
4253714,Dissociative neurological symptom disorder co-occurrent with alteration of consciousness
40759991,Constitutional symptoms Narrative
4027509,Contraception
4153321,Missed contraceptive pill
4253618,Contrast media
4076975,Control
