Title,Acronym,Status,Study Results,Phases,Funded Bys,URL,trial_id,outcome,study_type,study_design
Impact of COVID-19 Outbreak on Non-COVID-19 Patients,NoCOVImpact,enrolling by invitation,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04537559,NCT04537559,"intra-hospital mortality|composite outcome (worsening during hospitalization)|pathologies leading to hospitalization|overall mortality at 3 months (90 days)|potentially avoidable readmission rate|mortality rate by pathology at 3 months|length of stay|rate of transfer to intermediate or intensive care|rate of transfer to rehabilitation care|specific gravity outcomes for patients with pneumonia : curb 65 scale (confusion, urea, respiratory rate, blood pressure, age [>65])|specific gravity outcomes for patients with cardiac failure : killip class|specific gravity outcomes for patients with cardiac failure : weight variation|specific gravity outcomes for patients with cardiac failure or lung disease|leukocytes serum level|polynuclear neutrophils serum level|lymphocytes serum level|hemoglobin serum level|thrombocytes serum level|quick serum level|inr (international normalized ratio)|fibrinogen serum level|ptt serum level (partial thromboplastin time)|d-dimers serum level|glucose serum level|glycated hemoglobin serum level (hba1c)|c-reactive protein serum level (crp)|sodium serum level|potassium serum level|chlorides serum level|calculated osmolality serum level|phosphates serum level|corrected calcium serum level|urea serum level|creatinine serum level|egfr (ckd-epi) serum level|albumin serum level|prealbumin serum level|cyanocobalamin serum level|folate serum level|25-hydroxy vitamin d (d2 + d3) serum level|probnp (brain natriuretic peptid) serum level|ultra sensitive troponin t serum level|asat (aspartate transaminase) serum level|alat (alanine aminotransferase) serum level|alkaline phosphatases serum level|gamma glutamyl transpeptidase. serum level|total bilirubin serum level|ferritin serum level|tsh serum level|arterial ph|arterial pco2 (carbon dioxide partial pressure)|arterial po2 (oxygen partial pressure)|arterial lactate|arterial hco3 (bicarbonate)|protein serum level|arterial pressure|cardiac rates|respiratory rates|temperature|oxygen saturation|peak flow|specific scales : vas of pain|specific scales : fim|specific scales : sofa score|specific scales : mna|specific scales : nrs|serum or urine positive bacteriologic sample|patient questionnaire",observational,observational model: cohort|time perspective: retrospective
Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19,nan,"active, not recruiting",No Results Available,phase 3,Other,https://ClinicalTrials.gov/show/NCT04336904,NCT04336904,time from randomization to clinical recovery|time from randomization to negativity in rt-pcr nucleic acid test|incidence of deterioration/aggravation of pneumonia|time from randomization to resolution of pyrexia|time from randomization to relief of cough|time from randomization to relief of dyspnoea|rate of auxiliary oxygen therapy|icu admission rate|mortality,interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, care provider)|primary purpose: treatment"
Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia,nan,recruiting,No Results Available,phase 2,Other|Industry,https://ClinicalTrials.gov/show/NCT04445272,NCT04445272,to calulate the time of intubation|to calculate the time with oxygen therapy|to calculate the time with non-invasive mechanical ventilation|to evaluate mortality rate|to calculate respiratory function parameters|to evaluate radiological lung extension|to evaluate radiological evolution|to describe the duration of hospitalization and icu use|to evaluate the requirement of additional organ support|to evaluate the effect of iv tocilizumab on the serum levels of inflammatory markers|to calculate the number of adverse events in patients with covid-19 pneumonia treated with tocilizumab|to assess time to reverse-transcriptase polymerase chain reaction (rt-pcr) virus negativity|to evaluate the effect of iv tocilizumab on the serum levels of inflammatory|to calculate the number of serious adverse events in patients with covid-19 pneumonia treated with tocilizumab|to calculate the number of adverse events of special interest in patients with covid-19 pneumonia treated with tocilizumab|to evaluate respiratory function,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: treatment
A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection,nan,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04354831,NCT04354831,overall mortality within 60 days|length of icu stay during current admission for covid,interventional,allocation: non-randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
CORonavirus (COVID-19) Diagnostic Lung UltraSound Study,COR-DLUS,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04351802,NCT04351802,diagnosis of covid-19 on lung ultrasound|difference in diagnosis of covid-19 on lung ultrasound vs. chest x-ray|diagnosis of alternative condition to covid-19 on lung ultrasound vs. chest x-ray|ability of surveillance lung ultrasound to predict clinical trajectory / outcome in patients with covid-19|consistency of lung ultrasound interpretation in patients presenting with suspected covid-19,observational,observational model: cohort|time perspective: prospective
AZD1222 Vaccine for the Prevention of COVID-19,nan,not yet recruiting,No Results Available,phase 3,Industry,https://ClinicalTrials.gov/show/NCT04540393,NCT04540393,incidence of saes following the first vaccination and throughout the study duration (day 180) [safety and tolerability].|incidence of solicited aes for 7 following each vaccination [safety and tolerability].|sars-cov-2 antigen-specific antibody levels|the rate of participants seroconverting from negative to positive sars-cov-2 s antigen|the rate of participants seroconverting from negative to positive sars-cov-2 n|quantity of sars-cov-2 neutralizing antibodies|count of peripheral blood mononuclear cells (pbmcs)|quantity of seasonal coronavirus antigens|quantity of antibodies to the chadox1vector and the persistence of these antibodies over time,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: prevention
Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression,nan,not yet recruiting,No Results Available,phase 3,Other,https://ClinicalTrials.gov/show/NCT04345445,NCT04345445,the proportion of patients requiring mechanical ventilation|mean days of ventilation|the proportion of patients requiring icu admission|overall 28-day survival|change in symptom severity assessed by the world health organization (who) coronavirus disease 2019 (covid19) ordinal scale measured daily up to 7 days from baseline|duration of hospital and icu stay,interventional,allocation: randomized|intervention model: crossover assignment|masking: none (open label)|primary purpose: treatment
Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia,nan,not yet recruiting,No Results Available,phase 2|phase 3,Other,https://ClinicalTrials.gov/show/NCT04359095,NCT04359095,"mortality|number of participants with treatment related severe adverse events as assessed by the ncorp guidance for collection of adverse events related to covid-19 infection|time to death|number of participants that are transferred to the intensive care unit (icu)|number of participants that need mechanical ventilation support with endotracheal intubation.|number of participants cured assessed by nasopharyngeal swab, oropharyngeal swab, and blood aspiration for covid19 (rt-pcr) without clinical symptoms and normal chest x ray|number of participants with any adverse event related to treatment assessed by the ncorp guidance for collection of adverse events related to covid-19 infection",interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Long-term Outcomes in Patients With COVID-19,nan,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04508712,NCT04508712,physical functions|respiratory function|cognitive function|depression status|sensory functions|heart function,observational,observational model: case-only|time perspective: prospective
Isotretinoin in Treatment of COVID-19,Randomized,not yet recruiting,No Results Available,phase 3,Other,https://ClinicalTrials.gov/show/NCT04361422,NCT04361422,clinical clearance,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Worldwide Trends on COVID-19 Research After the Declaration of COVID-19 Pandemic,nan,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04460547,NCT04460547,"geographical distribution of the interventional studies after 11th of march 2020.|geographical distribution of the observational studies after 11th of march 2020.|monthly research study completion rate as per geographic distribution of the research.|statistical correlation of the interventional studies research with developed, developing and under developed countries.|statistical correlation of the observational studies research with developed, developing and under developed countries.|statistical correlation of the drug based interventional studies research with developed, developing and under developed countries.|statistical correlation of the diagnostic test based interventional studies research with developed, developing and under developed countries.|statistical correlation of the device based interventional studies research with developed, developing and under developed countries.",observational,observational model: cohort|time perspective: retrospective
"Gut Microbiota, ""Spark and Flame"" of COVID-19 Disease",nan,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04355741,NCT04355741,differences in gut microbiota composition between covid-19 patients with different degrees of disease severity.|differences in gut microbiota composition between covid-19 patients in relation to mortality.|differences in gut microbiota composition between covid-19 patients in relation to length of stay in hospitals.|differences in gut microbiota composition between covid-19 patients in relation to duration of mechanical ventilation.,observational,observational model: case-only|time perspective: cross-sectional
Inhaled Nitric Oxide for Preventing Progression in COVID-19,NO-COVID-19,recruiting,No Results Available,phase 2,Other|Industry,https://ClinicalTrials.gov/show/NCT04388683,NCT04388683,"prevention of progressive systemic de-oxygenation, with escalation to higher levels of oxygen and ventilatory support or death, assessed using a 7-point severity scale.|prevention of progression assessed by an alternate severity scale|time to reaching maximal severity score|proportion of patients in each stage at maximum severity|pao2/fio2 or sao2/fio2 ratio, measured daily|length of hospital stay (death assigned as worst case)|frequency of intubation, ecmo, or need to intubate with ""do not resuscitate"" order|mortality|il6 level|tnf-alpha level|fibrinogen level|crp level|ferritin level|d-dimer level",interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Developement and Evaluation of Serological Assays for COVID-19,SEROCOV,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04377763,NCT04377763,sensibility and specificity|delay between the first symptoms and the positive serological result,observational,observational model: cohort|time perspective: retrospective
Utility of Lactoferrin as an Adjunct Therapeutic Agent for COVID-19,nan,not yet recruiting,No Results Available,phase 2|phase 3,Other,https://ClinicalTrials.gov/show/NCT04421534,NCT04421534,time to clinical improvement|rate of virological cure,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
A Trial of NT-I7 in COVID-19 (SPESELPIS),nan,recruiting,No Results Available,phase 1,Industry,https://ClinicalTrials.gov/show/NCT04501796,NCT04501796,evaluate the safety of a single dose of nt-i7 in a dose escalation fashion|evaluate the immunological effects of nt-i7 cumulatively for all doses on peripheral lymphocyte counts in covid-19 patients.,interventional,"allocation: randomized|intervention model: sequential assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
COVID-19 Symptom Tracker,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04331509,NCT04331509,physical health symptoms|lack of physical health symptoms|fever,observational,observational model: cohort|time perspective: prospective
Autologous Adipose-derived Stem Cells (AdMSCs) for COVID-19,nan,not yet recruiting,No Results Available,phase 2,Industry,https://ClinicalTrials.gov/show/NCT04428801,NCT04428801,"tolerability and acute safety of admsc infusion by assessment of the total number of aes/saes related and non-related with the medication|the overall proportion of subjects who develop any aes/saes related and non-related with the admsc infusions as compared to the control group|covid-19 incidence rates in both the study and control groups|the proportion of subjects who are infected by sars-cov-2 measured by pcr or other nuclear level-based sars-cov-2 virus testing in respiratory tract specimens (oropharyngeal samples) collected by oropharyngeal swab using the cdc standard method.|the proportion of subjects who are infected by sars-cov-2 virus develop symptoms including mild, classic, severe and critical sever cases between study group and control group.|change of proportion of subjects who are infected by sars-cov-2 and develop igm/igg antibodies against sars-cov-2 between study group and control group.|change of lymphocyte count in white blood cell counts from the baseline|change of pao2 arterial blood gases from the baseline|compare the proportion of subjects who develop severe covid-19 pneumonia cases for both study and control groups|covid-19 mortality rates for both study and control groups|change of c-reactive protein (crp) (mg/l) from the baseline|change of d-dimer (mg/l) from the baseline|change of procalcitonin (ug)/l from the baseline|change of pro-type b natriuretic peptide (pro-bnp) (pg/ml) from the baseline|change of bilirubin (mg/dl) from the baseline|change of creatinine (mg/dl) from the baseline|change in blood test values for cytokine panels (il-1ϲ, il-6, il-8, il-10, tnfϱ) from the baseline|the proportion of subjects from sars-cov-2 rt-pcr positive to negativity in respiratory tract specimens (oropharyngeal samples) collected by oropharyngeal swab using the cdc standard method. as compared to control group|quantifying viral rna in stool for baseline and final follow-up.",interventional,"allocation: randomized|intervention model: parallel assignment|masking: double (participant, outcomes assessor)|primary purpose: treatment"
COVID-19: A Prevalence Study of Two ART Centres After the Pandemic Lockdown in the USA (COVID-19 Free Clinics),nan,completed,No Results Available,nan,Industry,https://ClinicalTrials.gov/show/NCT04466644,NCT04466644,prevalence of contagiousness in asymptomatic individuals by pcr with nasopharyngeal swabs|ratio of asymptomatic immunized (igg) population|to validate saliva specimens as a biological sample for covid-19 testing,observational,observational model: other|time perspective: prospective
Validation of a Rapid Quantitative Test for Loss of Smell in COVID-19 Subjects,nan,recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04431908,NCT04431908,"sensitivity, specificity and accuracy|repeatability|validation|asymptomatic sensitivity, specificity and accuracy",observational,observational model: cohort|time perspective: prospective
Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection,nan,not yet recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04343183,NCT04343183,decrease incidence of intubation by 30% or greater|decrease renal injury,interventional,allocation: randomized|intervention model: parallel assignment|masking: single (outcomes assessor)|primary purpose: treatment
The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19,nan,recruiting,No Results Available,phase 2,Industry,https://ClinicalTrials.gov/show/NCT04347915,NCT04347915,the rate of subjects tested as negative sars-coronavirus-2 (sars-cov-2)|the rate of subjects tested as negative sars-coronavirus-2 (sars-cov-2) in consecutive two days of real-time rt-pcr tests|the rate of subjects indicated by the improvement of lung invasive|the change of viral load,interventional,allocation: randomized|intervention model: parallel assignment|masking: single (participant)|primary purpose: treatment
Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.,C-19-ACS,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04333407,NCT04333407,all-cause mortality at 30 days after admission|absolute change in serum troponin from admission to peak value|discharge rate|intubation rate,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Aprepitant Injectable Emulsion in Patients With COVID-19 (GUARDS-1),nan,recruiting,No Results Available,phase 2,Industry,https://ClinicalTrials.gov/show/NCT04470622,NCT04470622,"proportion of subjects alive and discharged from the hospital.|time to death or respiratory failure, defined as any of the following: endotracheal intubation and mechanical ventilation; oxygen delivered by high-flow nasal cannula; noninvasive positive pressure ventilation; extracorporeal membrane oxygenation (ecmo).|time to discharge from hospital.|change from baseline in interleukin 6 (il-6).|incidence of treatment-emergent adverse events.",interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
VentaProst in Subjects With COVID-19 Requiring Mechanical Ventilation,VPCOVID,not yet recruiting,No Results Available,phase 2,Industry|Other,https://ClinicalTrials.gov/show/NCT04452669,NCT04452669,reduction in respiratory failure|reduction in cardiac/circulatory failure|improvement in oxygenation|improved clinical outcomes,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
Anticoagulation in Critically Ill Patients With COVID-19 (The IMPACT Trial),IMPACT,recruiting,No Results Available,phase 4,Other,https://ClinicalTrials.gov/show/NCT04406389,NCT04406389,"30-day mortality|length of intensive care unit (icu) stay in days|number of documented venous thromboembolism (vte), arterial thrombosis (stroke, myocardial infarction, other) and microthrombosis events|number of major and clinically relevant non-major bleeding events",interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
COVID-19 Endoscopy Survey,COVID-19 Endo,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04342637,NCT04342637,effect of gi societies recommendations on prevention of sars-cov-2 infection|to measure the percentage change in performed endoscopic procedure in response to covid-19|effect of covid-19 precautions on procedure time|effect of covid-19 precautions on time of disinfection|effect of covid-19 precautions on procedure success|effect of covid-19 precautions on complications|effect of covid-19 precautions on working time|effect of covid-19 precautions on staff number,observational,observational model: cohort|time perspective: prospective
The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19,nan,not yet recruiting,No Results Available,phase 2|phase 3,Other,https://ClinicalTrials.gov/show/NCT04291053,NCT04291053,mortality rate|clinical status assessed according to the official guideline|the differences in oxygen intake methods|duration (days) of supplemental oxygenation|duration (days) of mechanical ventilation|the mean pao2/fio2|length of hospital stay (days)|length of icu stay (days)|pulmonary function,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
COVID-19 Convalescent Plasma (CCP) Transfusion,nan,recruiting,No Results Available,early phase 1,Other,https://ClinicalTrials.gov/show/NCT04412486,NCT04412486,change in pao2/fio2 after ccp transfusion.|change in pulse oximetry status after ccp transfusion.|change in ao2 after ccp transfusion.|change in respiratory rate after ccp transfusion.|change in intubation status after ccp transfusion.|change in sequential organ failure assessment (sofa).|change in 8-point ordinal clinical deterioration scale.|length of icu/hospital stay.|development of plasma transfusion reactions.|development of immune complex disorders.|change in anti cov-2 igm and igg levels.,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: treatment
A Clinical Trial of a Recombinant Adenovirus 5 Vectored COVID-19 Vaccine (Ad5-nCoV) With Two Doses in Healthy Adults,nan,recruiting,No Results Available,phase 1,Other,https://ClinicalTrials.gov/show/NCT04552366,NCT04552366,incidence of the ae in all groups|seroconversion rate of the igg antibody against sars-cov-2|geomean titers of the igg antibody against sars-cov-2|seroconversion rate of the neutralizing antibody against sars-cov-2|geomean titers of the neutralizing antibody against sars-cov-2|incidence of serious adverse events (sae) in all groups|cellular immune response by elispot|geomean titers of neutralizing antibody response to ad5-vector|cellular immune response by ics|geomean titers of the iga antibody against sars-cov-2,interventional,allocation: non-randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: prevention
Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19,COVID-19,recruiting,No Results Available,not applicable,Industry|Other,https://ClinicalTrials.gov/show/NCT04336462,NCT04336462,recovery time|clinical symptom remission time|fever duration|leicester cough questionaire (lcq)|minimum oxygen|negative conversion rate|white blood cell(wbc)|red blood cells(rbc)|hemoglobin(hb )|platelets(plt)|lymphocyte count|the percentage of lymphocyte|neutrophils|c-reactive protein (crp)|myocardial enzyme|liver function|renal function|muscle enzyme,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
Pegylated Interferon Lambda for Treatment of COVID-19 Infection,nan,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04534673,NCT04534673,viral shedding in days since initial diagnosis|rate of adverse events and severe adverse events|time to clinical recovery|rate of non-invasive or mechanical ventilation|length of hospital stay|all-cause mortality|undetectable covid-19 virus levels,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
ABX464 in Treating Inflammation and Preventing Acute Respiratory Failure in Patients With COVID-19,Mir-Age,recruiting,No Results Available,phase 2|phase 3,Industry,https://ClinicalTrials.gov/show/NCT04393038,NCT04393038,"rate of patients with no invasive or non-invasive mechanical ventilation (imv and niv, respectively), but excluding simple nasal/mask oxygen supplementation, and who are alive|rate of patients hospitalized|percentage of patients reporting each severity rating on a 7-point ordinal scale|change from enrolment in inflammatory markers in plasma and in immune phenotype and assessment of cell-activation markers in pbmcs|rate of patients requiring oxygen supplementation|time to hospitalization|time to assisted ventilation and oxygen supplementation|change from baseline in microrna-124 levels|change from baseline in crp, troponin i & t and d-dimer|sars-cov-2 viral load|number and rates of participants with treatment emergent adverse event",interventional,"allocation: randomized|intervention model: parallel assignment|masking: triple (participant, care provider, investigator)|primary purpose: treatment"
Setting up a COVID-19 Care Facility at a Prison in Pakistan,nan,completed,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04404179,NCT04404179,recovery|mortality|icu admission,observational,observational model: case-only|time perspective: prospective
Serological Surveillance for COVID-19 in Central North Carolina,nan,recruiting,No Results Available,nan,NIH,https://ClinicalTrials.gov/show/NCT04490174,NCT04490174,anti-sars-cov-2 antibodies|positive sars-cov-2 pcr|clinical questionnaires and elisa antibody testing resu|detection of anti-sars-cov-2 antibodies by elisa assay algorithm|clinical questionnaires and elisa antibody testing results,observational,observational model: cohort|time perspective: prospective
Safety and Efficacy of Melatonin in Outpatients Infected With COVID-19,COVID-19,not yet recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04474483,NCT04474483,cumulative incidence of treatment-emergent adverse events|hospitalization|covid-19 related symptoms|rate of resolution of covid-19 related symptoms|mortality,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
The Role of Resistant Starch in COVID-19 Infection,nan,recruiting,No Results Available,phase 3,Other,https://ClinicalTrials.gov/show/NCT04342689,NCT04342689,rates of hospitalization for a covid-19 related complication|time to clinical recovery (ttcr)|symptom severity score,interventional,"allocation: randomized|intervention model: parallel assignment|masking: quadruple (participant, care provider, investigator, outcomes assessor)|primary purpose: treatment"
Low-dose Tocilizumab Versus Standard of Care in Hospitalized Patients With COVID-19,COVIDOSE-2,not yet recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04479358,NCT04479358,time to recovery|achievement of recovery|overall survival|hospital length of stay|clinical response: maximum temperature (tmax) response|clinical response: rate of non-elective invasive mechanical ventilation|clinical response: duration of non-elective invasive mechanical ventilation|clinical response: time to non-elective invasive mechanical ventilation|clinical response: rate of vasopressor/inotrope utilization|clinical response: duration of vasopressor/inotrope utilization|clinical response: time to vasopressor/inotrope utilization|clinical response: duration of increased supplemental oxygen from baseline|biochemical response: c-reactive protein response rate|safety: rate of secondary infection,interventional,allocation: randomized|intervention model: parallel assignment|masking: none (open label)|primary purpose: treatment
Contagiousness and Immunogenicity Status of COVID-19 in Asymptomatic Population (COVID-19 CONDITION),CONDITION,recruiting,No Results Available,nan,Industry,https://ClinicalTrials.gov/show/NCT04389658,NCT04389658,prevalence of contagiousness in asymptomatic individuals by pcr|ratio of asymptomatic immunized (iga/igm and igg) population|description of demographic characteristics,observational,observational model: other|time perspective: retrospective
Study of FT516 for the Treatment of COVID-19 in Hospitalized Patients With Hypoxia,nan,recruiting,No Results Available,phase 1,Other,https://ClinicalTrials.gov/show/NCT04363346,NCT04363346,number of participants with dose limiting toxicity events|the time in days from the 1st ft516 infusion to the elimination of viral shedding in nasal pharyngeal and stool samples|the time in days from the 1st ft516 infusion to discontinued need for supplemental oxygen|the time in days from the 1st ft516 infusion to hospital discharge,interventional,allocation: non-randomized|intervention model: sequential assignment|masking: none (open label)|primary purpose: treatment
C5a Receptor Expression - COVID-19 (C5-COV),C5-COV,recruiting,No Results Available,not applicable,Other|Industry,https://ClinicalTrials.gov/show/NCT04369820,NCT04369820,show an overexpression of c5a receptor in patients with ards secondary to covid-19 compared to control patients (patients with covid-19 without respiratory distress and healthy volunteers).,interventional,allocation: n/a|intervention model: single group assignment|masking: none (open label)|primary purpose: other
TXA127 for the Treatment of Severe COVID-19,nan,recruiting,No Results Available,phase 2,Other,https://ClinicalTrials.gov/show/NCT04401423,NCT04401423,change of serum creatinine|number of participants requiring intubation and ventilatory support|change in number of deceased participants|number of participants requiring dialysis|number of participants requiring a vasopressors|change in blood inflammatory markers|percent change in supplemental oxygen requirements,interventional,"allocation: randomized|intervention model: parallel assignment|masking: triple (participant, care provider, investigator)|primary purpose: treatment"
Relation Between Lab Finding and COVID-19 Severity,nan,not yet recruiting,No Results Available,nan,Other,https://ClinicalTrials.gov/show/NCT04470557,NCT04470557,estimation of severity of patients with covid-19 in relation to laboratory findings.,observational,observational model: other|time perspective: cross-sectional
Genosvid Diagnostic Test for Early Detection of COVID-19,nan,recruiting,No Results Available,not applicable,Other,https://ClinicalTrials.gov/show/NCT04558372,NCT04558372,diagnostic accuracy of electronic nose signal in covid-19,interventional,"allocation: non-randomized|intervention model: single group assignment|masking: triple (participant, investigator, outcomes assessor)|primary purpose: diagnostic"
