interventionName,interventionID
covid-19 reverse transcription polymerase chain reaction test [diagnostic test],intervention_66
prone positioning [other],intervention_67
placebo oral capsule [drug],intervention_68
colchicine tablets [drug],intervention_69
therapeutic anticoagulation [drug],intervention_70
ascorbic acid [drug],intervention_71
prednisone [drug],intervention_72
chloroquine or hydroxychloroquine [drug],intervention_73
vitamin super b-complex [dietary supplement],intervention_74
saline [other],intervention_75
peginterferon lambda-1a [drug],intervention_76
suspension of heat killed (autoclaved) mycobacterium w [drug],intervention_77
questionnaire administration [other],intervention_78
other [other],intervention_79
convalescent plasma (cp) [biological],intervention_80
nivolumab [drug],intervention_81
recombinant novel coronavirus vaccine (adenovirus type 5 vector) [biological],intervention_82
observation [other],intervention_83
low molecular weight heparin [drug],intervention_84
probiotic [dietary supplement],intervention_85
blood sampling [other],intervention_86
nitric oxide gas [drug],intervention_87
opaganib [drug],intervention_88
survey administration [other],intervention_89
low dose radiation therapy [radiation],intervention_90
coviage [device],intervention_91
normal saline [drug],intervention_92
self-administered questionnaire [other],intervention_93
vpm1002 tuberculosis vaccine [biological],intervention_94
best practice [other],intervention_95
ace inhibitor [drug],intervention_96
zinc [dietary supplement],intervention_97
tocilizumab [biological],intervention_98
data record [other],intervention_99
3d telemedicine [other],intervention_100
questionnaires [other],intervention_101
prospective study with two measurement points investigating the impact of viral mitigation protocols on mental health [behavioral],intervention_102
blood donation short message service [behavioral],intervention_103
telerehabilitation [other],intervention_104
ad26.cov2.s [biological],intervention_105
duvelisib [drug],intervention_106
peripheral blood draw [procedure],intervention_107
deferoxamine [drug],intervention_108
pulmozyme [drug],intervention_109
convalescent plasma transfusion [drug],intervention_110
exposure [other],intervention_111
hyperbaric oxygen therapy [device],intervention_112
practice details [other],intervention_113
melatonin [drug],intervention_114
best supportive care [other],intervention_115
regn10933+regn10987 combination therapy [drug],intervention_116
tocilizumab injection [drug],intervention_117
standard therapy [drug],intervention_118
blood samples [biological],intervention_119
standard medical treatment [drug],intervention_120
thymalfasin [drug],intervention_121
matching placebo [drug],intervention_122
acetylsalicylic acid [drug],intervention_123
acalabrutinib [drug],intervention_124
telmisartan [drug],intervention_125
normal saline [other],intervention_126
standard care [other],intervention_127
standard care [combination product],intervention_128
nafamostat mesilate [drug],intervention_129
siltuximab [drug],intervention_130
olokizumab [drug],intervention_131
control [other],intervention_132
cyclosporine [drug],intervention_133
sirolimus [drug],intervention_134
imatinib [drug],intervention_135
computed tomography scan [diagnostic test],intervention_136
blood sampling [procedure],intervention_137
ivermectin oral product [drug],intervention_138
ly-cov555 [drug],intervention_139
radiation therapy [radiation],intervention_140
saliva collection [diagnostic test],intervention_141
chloroquine sulfate [drug],intervention_142
pul-042 inhalation solution [drug],intervention_143
ciclesonide [drug],intervention_144
hope biosciences autologous mesenchymal stem cell therapy [drug],intervention_145
azithromycin tablets [drug],intervention_146
sars-cov-2 [diagnostic test],intervention_147
quality-of-life assessment [other],intervention_148
human immunoglobulin [drug],intervention_149
hormones [drug],intervention_150
tocilizumab (tcz) [drug],intervention_151
thalidomide [drug],intervention_152
bacillus calmette–guérin vaccine [drug],intervention_153
convalescent plasma (anti-sars-cov-2 plasma) [biological],intervention_154
bnt162b1 [biological],intervention_155
bnt162b2 [biological],intervention_156
kb109 + self supportive care (ssc) [other],intervention_157
self supportive care (ssc) alone [other],intervention_158
low dosage inactivated sars-cov-2 vaccine on a 0- and 28-day schedule [biological],intervention_159
inactivated sars-cov-2 vaccine [biological],intervention_160
placebo on a 0- and 28-day schedule [biological],intervention_161
saline solution [other],intervention_162
edp1815 [drug],intervention_163
interview [other],intervention_164
routine care for covid-19 patients [other],intervention_165
ruxolitinib oral tablet [drug],intervention_166
online questionnaire [diagnostic test],intervention_167
sab-185 [biological],intervention_168
normal saline [other],intervention_169
remdesivir placebo [drug],intervention_170
awake prone positioning [procedure],intervention_171
canakinumab [drug],intervention_172
levamisole and isoprinosine [drug],intervention_173
mrna-1273 [biological],intervention_174
dexamethasone injection [drug],intervention_175
placebo administration [drug],intervention_176
stellate ganglion block [procedure],intervention_177
td-0903 [drug],intervention_178
standard therapy [other],intervention_179
baricitinib oral tablet [drug],intervention_180
biological sample collection [diagnostic test],intervention_181
aerosol box [device],intervention_182
hydroxychloroquine and azithromycin [drug],intervention_183
remestemcel-l [biological],intervention_184
n-acetylcysteine [drug],intervention_185
ophthalmologic exam [procedure],intervention_186
matched placebo [drug],intervention_187
interleukin-7 [drug],intervention_188
covid-19 therapeutic vaccine - nucleocapsid-gm-csf protein lactated ringer's injection [biological],intervention_189
sample collection [other],intervention_190
recombinant human interleukin-7 [drug],intervention_191
bevacizumab injection [drug],intervention_192
pulmonary ultrasound [other],intervention_193
aspirin [drug],intervention_194
simvastatin [drug],intervention_195
observational [other],intervention_196
therapeutic plasma exchange [procedure],intervention_197
risk factors [other],intervention_198
sars-cov-2 diagnostic rapid test [diagnostic test],intervention_199
oxygen therapy [device],intervention_200
eculizumab [drug],intervention_201
dornase alfa inhalation solution [pulmozyme] [drug],intervention_202
web based survey [other],intervention_203
hydroxychloroquine sulfate tablets [drug],intervention_204
methylprednisolone sodium succinate [drug],intervention_205
zinc gluconate [dietary supplement],intervention_206
aeonose [device],intervention_207
prone position [procedure],intervention_208
muscle ultrasound [diagnostic test],intervention_209
ibrutinib [drug],intervention_210
saliva collection [biological],intervention_211
anti-sars-cov2 serology [diagnostic test],intervention_212
questionnaire [behavioral],intervention_213
clopidogrel [drug],intervention_214
eidd-2801 [drug],intervention_215
hydroxychloroquine + placebo [drug],intervention_216
niclosamide [drug],intervention_217
electrocardiogram [diagnostic test],intervention_218
nigella sativa / black cumin [drug],intervention_219
venous ultrasound [other],intervention_220
blood tests [diagnostic test],intervention_221
l-ascorbic acid [drug],intervention_222
sivomixx [dietary supplement],intervention_223
high-flow nasal cannula [device],intervention_224
patient-reported online questionnaire on olfactory & taste disturbances [other],intervention_225
blood sampling [biological],intervention_226
angiotensin ii receptor blockers [drug],intervention_227
ebselen [drug],intervention_228
observational study [other],intervention_229
prone positioning [procedure],intervention_230
covid-19 [other],intervention_231
sars-cov2 testing [diagnostic test],intervention_232
follow up [other],intervention_233
blood draw [other],intervention_234
physiotherapy [other],intervention_235
ribavirin [drug],intervention_236
lopinavir-ritonavir [drug],intervention_237
sevoflurane [drug],intervention_238
blood sample [diagnostic test],intervention_239
phone call [other],intervention_240
non-interventional [other],intervention_241
prone positioning (pp) [procedure],intervention_242
electronic questionnaire [other],intervention_243
leronlimab [drug],intervention_244
vv-ecmo + cytokine adsorption (cytosorb adsorber) [device],intervention_245
vv-ecmo only (no cytokine adsorption) [device],intervention_246
chadox1 ncov-19 [biological],intervention_247
prone position [other],intervention_248
plasma [drug],intervention_249
selinexor [drug],intervention_250
cellectra¬¨√¶ 2000 [device],intervention_251
corticosteroid [drug],intervention_252
abidol hydrochloride [drug],intervention_253
rlf-100 (aviptadil) [drug],intervention_254
recop unit patient [other],intervention_255
yoga [other],intervention_256
covid-19 pandemic [other],intervention_257
chloroquine diphosphate [drug],intervention_258
2d telemedicine [other],intervention_259
pregnant women with laboratory-confirmed 2019-n-cov [other],intervention_260
online questionnaire [other],intervention_261
file scanning [other],intervention_262
retrospective analysis [other],intervention_263
"magpro x100 stimulator, b70 fluid-cooled coil [device]",intervention_264
anti-sars-cov-2 human convalescent plasma [biological],intervention_265
tele-yoga therapy [other],intervention_266
exercise brochure [other],intervention_267
azd1222 [biological],intervention_268
standard treatment [other],intervention_269
dwrx2003 [drug],intervention_270
early-dexamethasone [drug],intervention_271
flow cytometric analysis [diagnostic test],intervention_272
biological data [biological],intervention_273
avigan 200 mg film tablets [drug],intervention_274
decitabine [drug],intervention_275
placebo saline [other],intervention_276
infliximab [drug],intervention_277
tramadol [drug],intervention_278
compound 21 [drug],intervention_279
lopinavir / ritonavir pill [drug],intervention_280
isotretinoin [drug],intervention_281
lactoferrin [drug],intervention_282
autologous adipose-derived stem cells [biological],intervention_283
elisa [diagnostic test],intervention_284
rt-pcr [diagnostic test],intervention_285
olfactory device [device],intervention_286
clevudine [drug],intervention_287
aspirin 75mg [drug],intervention_288
clopidogrel 75mg [drug],intervention_289
rivaroxaban 2.5 mg [drug],intervention_290
atorvastatin 40mg [drug],intervention_291
omeprazole 20mg [drug],intervention_292
txa127 [drug],intervention_293
aprepitant injectable emulsion [drug],intervention_294
saline placebo [drug],intervention_295
ventaprost (inhaled epoprostenol delivered via a dedicated delivery system) [drug],intervention_296
enoxaparin sodium [drug],intervention_297
fondapariniux [drug],intervention_298
argatroban [drug],intervention_299
huaier granule [drug],intervention_300
covid convalescent plasma [biological],intervention_301
oxyhydrogen [device],intervention_302
oxygen [device],intervention_303
abx464 [drug],intervention_304
covid-19 facility [other],intervention_305
placebo (methylcellulose) capsule [other],intervention_306
dietary supplement containing resistant starch [drug],intervention_307
placebo starch [dietary supplement],intervention_308
draw blood [other],intervention_309
ft516 [drug],intervention_310
"d-dimer,cbc.esr,crp, [diagnostic test]",intervention_311
"liver function tests ,serum ferritin and pcr for covid-19 . [diagnostic test]",intervention_312
oral administration of colchicine plus herbal phenolic monoterpene fractions [drug],intervention_313
best supportive care (bsc) + ifx-1 [drug],intervention_314
best supportive care only [drug],intervention_315
soc + intravenous famotidine [drug],intervention_316
soc + placebo [drug],intervention_317
cohort [other],intervention_318
assessing impact of covid19 [other],intervention_319
"oral nutrition supplement (ons) enriched in eicosapentaenoic acid, gamma-linolenic acid and antioxidants [dietary supplement]",intervention_320
isocaloric/isonutrigenous ons [dietary supplement],intervention_321
exchange blood transfusion from normal donor [biological],intervention_322
plasma from convalescent patients with covid-19 [biological],intervention_323
methylene blue 5 mg/ml [drug],intervention_324
ct-scan with minimal invasive autopsy [procedure],intervention_325
ivermectin plus nitazoxanide [combination product],intervention_326
dapagliflozin 10 mg [drug],intervention_327
transfusion of sars-cov-2 convalescent plasma. [drug],intervention_328
transfusion of standard plasma. [drug],intervention_329
cpi-006 [drug],intervention_330
anti-sars-cov-2 plasma [drug],intervention_331
hyperimmune plasma [other],intervention_332
pamrevlumab [drug],intervention_333
detection of anti-covid-19 antibody level [diagnostic test],intervention_334
ozanimod [drug],intervention_335
1:naproxen [drug],intervention_336
2:standard of care [drug],intervention_337
tcm prescriptions [drug],intervention_338
baricitinib (janus kinase inhibitor) [drug],intervention_339
blood donation from convalescent donor [other],intervention_340
traditional chinese medicine prescription [drug],intervention_341
plitidepsin 1.5 mg/day [drug],intervention_342
plitidepsin 2.0 mg/day [drug],intervention_343
plitidepsin 2.5 mg/day [drug],intervention_344
blood samples [other],intervention_345
clofazimine [drug],intervention_346
demographic and clinical data obtained from hospital's electronic medical record. [other],intervention_347
colchicine 1 mg oral tablet [drug],intervention_348
filmarray pneumonia [diagnostic test],intervention_349
olfactory and gustatory tests [other],intervention_350
ag0301-covid19 [biological],intervention_351
recombinant human angiotensin-converting enzyme 2 (rhace2) [drug],intervention_352
recombinant bacterial ace2 receptors -like enzyme of b38-cap (rbace2) [drug],intervention_353
plasma donation [other],intervention_354
blood collection on admission and longitudinally [biological],intervention_355
blood collection on their first consultation and 10 to 14 days later [biological],intervention_356
home care monitoring [other],intervention_357
mls laser [device],intervention_358
regular inpatient medical care [other],intervention_359
"nk cells,il15-nk cells,nkg2d car-nk cells,ace2 car-nk cells,nkg2d-ace2 car-nk cells [biological]",intervention_360
lianhua qingwen [drug],intervention_361
plasma hyperimmune [other],intervention_362
intravenous immune globulin [biological],intervention_363
whole genome analysis [genetic],intervention_364
t-cell receptor (tcr) repertoire [genetic],intervention_365
sars-cov-2 viral composition [genetic],intervention_366
positive covid test result - hypothetical scenario [behavioral],intervention_367
negative covid test result - hypothetical scenario [behavioral],intervention_368
unavailable covid test result - hypothetical scenario [behavioral],intervention_369
covx [device],intervention_370
hydroxychloroquine plus standard preventive measures [drug],intervention_371
placebo plus standard preventive measures [drug],intervention_372
ketogenic diet [dietary supplement],intervention_373
mscs [biological],intervention_374
no-immunosuppressive [drug],intervention_375
immunosuppressive [drug],intervention_376
immunoglubulins [drug],intervention_377
bdb-001 injection [drug],intervention_378
conventional treatment [other],intervention_379
pyronaridine-artesunate [drug],intervention_380
merimepodib [drug],intervention_381
unfractionated heparin nebulized [drug],intervention_382
web application users [device],intervention_383
vielight rx plus [device],intervention_384
prazosin [drug],intervention_385
experimental group [drug],intervention_386
placebo group [drug],intervention_387
hydroxychloroquine plus nitazoxanide [combination product],intervention_388
"training video on anxiety, fear and loneliness in the covid-19 environment. [behavioral]",intervention_389
umifenovir [drug],intervention_390
interferon-≈ì‚â§ 1a [drug],intervention_391
standards of care [drug],intervention_392
ciclesonide metered dose inhaler [alvesco] [drug],intervention_393
q-nrg metobolic cart device [device],intervention_394
musclesound ultrasound [device],intervention_395
multifrequency bioimpedance spectroscopy [device],intervention_396
baricitinib or anakinra [drug],intervention_397
"reporting of anosmia, ageusia and other clinical symptoms [biological]",intervention_398
apple watch series 5 [device],intervention_399
telmisartan arm will receive 80 mg telmisartan twice daily plus standard care. [drug],intervention_400
crizanlizumab [drug],intervention_401
maraviroc 300 mg [drug],intervention_402
placebo of hydroxychloroquine [drug],intervention_403
lopinavir and ritonavir [drug],intervention_404
placebo of lpv/r tablets [drug],intervention_405
maraviroc + standard therapy [drug],intervention_406
standard therapy for covid-19 non-critical patients [procedure],intervention_407
favipiravir + standard therapy [drug],intervention_408
"maraviroc, favipiravir [drug]",intervention_409
ivermectin (iver p¬¨√¶) arm will receive ivm 600 ¬¨¬µg / kg once daily plus standard care. control arm will receive standard care. [drug],intervention_410
chlorpromazine (cpz) [drug],intervention_411
covid-19 rapid test kit (rapg-cov-019) [diagnostic test],intervention_412
quantitative igg test [diagnostic test],intervention_413
"ncapp, a cell phone-based auto-diagnosis system [other]",intervention_414
matched placebo hydroxychloroquine [other],intervention_415
brequinar [drug],intervention_416
convalescent plasma of patients with covid-19 [biological],intervention_417
placebo (hartmann plus albumine) [other],intervention_418
"ddrops¬¨√¶ products, 50,000 iu, oral [dietary supplement]",intervention_419
treatment for covid-19 [other],intervention_420
covid-19 diagnostic test [diagnostic test],intervention_421
td139 [drug],intervention_422
lanadelumab [biological],intervention_423
regular care [other],intervention_424
prone [other],intervention_425
famotidine [drug],intervention_426
leflunomide [drug],intervention_427
mrx-4dp0004 [drug],intervention_428
prevalence of covid-19 [other],intervention_429
pacebo:calcium citrate [other],intervention_430
licorice extract [dietary supplement],intervention_431
crisis management coaching [behavioral],intervention_432
wearing surgical face mask sprayed with hypertonic saline [other],intervention_433
sample collection/performance evaluation (a) [diagnostic test],intervention_434
sample collection/performance evaluation (b) [diagnostic test],intervention_435
this study is non- interventional [other],intervention_436
registery data collection [behavioral],intervention_437
hyperbaric oxygen therapy (hbot) [device],intervention_438
resveratrol [drug],intervention_439
survey group [other],intervention_440
rph-104 80 mg [biological],intervention_441
single fraction whole lung radiotherapy [radiation],intervention_442
at-001 [drug],intervention_443
abatacept [drug],intervention_444
sildenafil citrate tablets [drug],intervention_445
c3+ holter monitor [device],intervention_446
scb-2019 [biological],intervention_447
scb-2019 with as03 adjuvant [biological],intervention_448
scb-2019 with cpg 1018 adjuvant plus alum adjuvant [biological],intervention_449
peripheral blood sampling [diagnostic test],intervention_450
self-prone position recommendation [other],intervention_451
zilucoplan¬¨√¶ [drug],intervention_452
therapeutic plasma exchange (tpe) [biological],intervention_453
surgical facial mask [other],intervention_454
gimsilumab [drug],intervention_455
atorvastatin [drug],intervention_456
diet tracking and survey [other],intervention_457
anakinra 100mg/0.67ml inj syringe [drug],intervention_458
covid-19 serology [diagnostic test],intervention_459
symptoms questionnare [other],intervention_460
enoxaparin higher dose [drug],intervention_461
lower-dose prophylactic anticoagulation [drug],intervention_462
chlorpromazine [drug],intervention_463
dianose [device],intervention_464
amiodarone [drug],intervention_465
verapamil [drug],intervention_466
cap-1002 allogeneic cardiosphere-derived cells [biological],intervention_467
prone position ventilation [procedure],intervention_468
etoposide [drug],intervention_469
outpatient mri [diagnostic test],intervention_470
biological/vaccine:angiotensin peptide (1-7) derived plasma [biological],intervention_471
respiratory physiotherapy [other],intervention_472
quercetin prophylaxis [dietary supplement],intervention_473
quercetin treatment [dietary supplement],intervention_474
op-101 [drug],intervention_475
"hydroxychloroquine , sofosbuvir, daclatasvir [drug]",intervention_476
standard of care treatment [drug],intervention_477
avm0703 [drug],intervention_478
monitoring physiological data with the hexoskin smart shirt [device],intervention_479
deep venous disease diagnostic [other],intervention_480
supine positioning [other],intervention_481
miniprobe alveoflex [device],intervention_482
act-20-msc [biological],intervention_483
act-20-cm [biological],intervention_484
ramipril 2.5 mg oral capsule [drug],intervention_485
mesenchymal stem cells [drug],intervention_486
hydroxychloroquine sulfate 400 mg twice a day [drug],intervention_487
hydroxychloroquine sulfate 600 mg twice a day [drug],intervention_488
hydroxychloroquine sulfate 600 mg once a day [drug],intervention_489
apilimod dimesylate capsule [drug],intervention_490
"lenalidomide as a 5 mg capsule po daily, days 1, 3, and 5. [drug]",intervention_491
n-acetyl cysteine [drug],intervention_492
desidustat [drug],intervention_493
umbilical cord derived mesenchymal stem cells [biological],intervention_494
rehabilitation [other],intervention_495
lopinavir/ritonavir 400 mg/100 mg [drug],intervention_496
prophylactic lactoferrin daily [drug],intervention_497
ozone auto-hemotherapy [biological],intervention_498
prognostic score [diagnostic test],intervention_499
data monitoring for 48h within the first 12 hours of admission for covid-19 [other],intervention_500
seraph 100 [device],intervention_501
treatment and prophylaxis [drug],intervention_502
standard public health measures [other],intervention_503
current care per ucla treating physicians [other],intervention_504
data collection from lumbar puncture [other],intervention_505
data collection from blood draw [other],intervention_506
cns magnetic resonance imaging (mri) imaging [other],intervention_507
microscopy of defined brain regions on autopsy specimens [other],intervention_508
gamunex-c [biological],intervention_509
diagnostic tests for covid-19 infection [diagnostic test],intervention_510
"n terminal pro b type natriuretic peptide (ntprobnp), d-dimer, and serum tropinin - i [diagnostic test]",intervention_511
ccp [biological],intervention_512
phr160 spray [drug],intervention_513
essential oils [drug],intervention_514
tap water [other],intervention_515
kerecis oral and nasal spray [device],intervention_516
ulinastatin [drug],intervention_517
covid-19 convalescent hyperimmune plasma [biological],intervention_518
non-convalescent fresh frozen plasma (standard plasma) [biological],intervention_519
extended sampling and procedures [procedure],intervention_520
biological:covid-19 convalescent plasma [biological],intervention_521
hb-admsc [drug],intervention_522
hcq & az vs hcq+sir [drug],intervention_523
hcq & az [drug],intervention_524
rhace2 apn01 [drug],intervention_525
physiological saline solution [drug],intervention_526
ip-10 in cds protocol [diagnostic test],intervention_527
sars-cov-2 specific t cells [biological],intervention_528
go2 peep mouthpiece [device],intervention_529
xpro1595 [drug],intervention_530
ampion [biological],intervention_531
at-527 [drug],intervention_532
best standard of care [other],intervention_533
thromboprophylaxis [drug],intervention_534
candesartan [drug],intervention_535
non-ras blocking antihypertensives [drug],intervention_536
placebo for clazakizumab [drug],intervention_537
fnc+standard of care [drug],intervention_538
fnc dummy tablet+standard of care [drug],intervention_539
cash transfer [other],intervention_540
cytosorb-therapy [device],intervention_541
methotrexate [drug],intervention_542
canakinumab 150 mg/ml [ilaris] [drug],intervention_543
cytosorb 300 ml device [device],intervention_544
bat2020 [drug],intervention_545
blood draw [diagnostic test],intervention_546
fingertip tests for poc assays [diagnostic test],intervention_547
collection of swabs [diagnostic test],intervention_548
saline oral/nasal rinse [drug],intervention_549
0.5% povidone/iodine oral/nasal rinse [drug],intervention_550
0.12% chlorhexidine oral/nasal rinse [drug],intervention_551
data collection and clinical testing of subjects [other],intervention_552
n-803 [biological],intervention_553
bactek-r [biological],intervention_554
levilimab [drug],intervention_555
convalesscent plasma [drug],intervention_556
rbt-9 (90 mg) [drug],intervention_557
0.9% sodium chloride (normal saline) [drug],intervention_558
povidone-iodine 2% [drug],intervention_559
povidone-iodine 0.5% [drug],intervention_560
isotonic saline 0.9% [drug],intervention_561
standard supportive care [other],intervention_562
the control group will not receive hydroxychloroquine [other],intervention_563
av-covid-19 [biological],intervention_564
non intervention [other],intervention_565
non-contact ecg [device],intervention_566
allogeneic human dental pulp stem cells (bsh btc & utooth btc) [biological],intervention_567
intravenous saline injection (placebo) [other],intervention_568
mucodentol [drug],intervention_569
personal protective equipment [device],intervention_570
adsorbed covid-19 (inactivated) vaccine [biological],intervention_571
covid 19 serology [diagnostic test],intervention_572
covid 19 self-questionnaire [other],intervention_573
mannitol [drug],intervention_574
zinc sulfate [drug],intervention_575
bactrl-spike [biological],intervention_576
nitazoxanide tablets [drug],intervention_577
zanubrutinib [drug],intervention_578
supportive care [drug],intervention_579
mesenchymal stromal cells infusion [biological],intervention_580
telmisartan 40mg [drug],intervention_581
clazakizumab 25 mg [drug],intervention_582
clazakizumab 12.5 mg [drug],intervention_583
wj-mscs [biological],intervention_584
"resp301, a nitric oxide generating solution [drug]",intervention_585
cenicriviroc [drug],intervention_586
icatibant [drug],intervention_587
razuprotafib [drug],intervention_588
apremilast [drug],intervention_589
favipiravir + standard of care [drug],intervention_590
standard therapy protocol (stp) [drug],intervention_591
stp + standard plasma (sp) [other],intervention_592
stp + covid-19 convalescent plasma (cp) [other],intervention_593
covid-19 convalescent plasma (ccp) [biological],intervention_594
tetrandrine [drug],intervention_595
diagnostic test for sars-cov2 for patients and health staff [diagnostic test],intervention_596
bivalirudin injection [drug],intervention_597
blood and derivatives. [other],intervention_598
flow controlled ventilation (evone-ventilator) [device],intervention_599
rt pcr [diagnostic test],intervention_600
hypertension [other],intervention_601
diabetes type 2 [other],intervention_602
obesity [other],intervention_603
antihypertensive agents [drug],intervention_604
statins (cardiovascular agents) [drug],intervention_605
extra blood sample [other],intervention_606
azithromycin capsule [drug],intervention_607
bicalutamide 150 mg oral tablet [drug],intervention_608
vazegepant (bhv-3500) [drug],intervention_609
dialyzable leukocyte extract [drug],intervention_610
placebo oral [drug],intervention_611
autologous non-hematopoietic peripheral blood stem cells (nhpbsc) [biological],intervention_612
covid-19 standard care [drug],intervention_613
rapa-501-allo off-the-shelf therapy of covid-19 [biological],intervention_614
media intervention [other],intervention_615
meditation therapy [procedure],intervention_616
yoga [procedure],intervention_617
favipiravir placebo [drug],intervention_618
montelukast 10mg [drug],intervention_619
pegylated interferon lambda [drug],intervention_620
convalescent plasma [procedure],intervention_621
snpp protoporphyrin plus sunlight exposure [drug],intervention_622
sulfonatoporphyrin(tpps) plus sunlight exposure. [drug],intervention_623
non [other],intervention_624
plasma from covid-19 convalescent patient [drug],intervention_625
placenta-derived mmscs; cryopreserved placenta-derived multipotent mesenchymal stromal cells [procedure],intervention_626
antibiotics [drug],intervention_627
anticoagulant therapy [drug],intervention_628
‚Äì√ªxygen therapy [device],intervention_629
covid-19 antibodies testing [diagnostic test],intervention_630
bevacizumab [drug],intervention_631
lanadelumab [drug],intervention_632
nestacell¬¨√¶ [biological],intervention_633
methylprednisolone therapy [drug],intervention_634
"ace inhibitor, angiotensin receptor blocker [drug]",intervention_635
hospitalized children with covid19 [other],intervention_636
angiotensin receptor blockers [drug],intervention_637
ivermectin + doxycycline + placebo [drug],intervention_638
ivermectin + placebo [drug],intervention_639
mstt1041a [drug],intervention_640
mstt1041a-matched placebo [drug],intervention_641
uttr1147a [drug],intervention_642
uttr1147a-matched placebo [drug],intervention_643
tociliuzumab [drug],intervention_644
phsyiotherapy [other],intervention_645
levamisole pill + budesonide+formoterol inhaler [drug],intervention_646
lopinavir/ritonavir + hydoxychloroquine [drug],intervention_647
lau-7b [drug],intervention_648
camostat [drug],intervention_649
"standard 12-lead ecg, nt-probnp, echocardiography [diagnostic test]",intervention_650
abatacept [biological],intervention_651
metenkefalin + tridecactide [drug],intervention_652
the standard of care [drug],intervention_653
aerosol-reducing mask [device],intervention_654
standard mask [device],intervention_655
"35 ml blood, 5 tubes lithium heparinate at each time (hospitalized patients ) [other]",intervention_656
"35 ml blood, 5 tubes lithium heparinate at each time (cured patients) [other]",intervention_657
"sf12, eq-5d-5l and work status standardized quantitative assessments [other]",intervention_658
control (albumin 5%) [biological],intervention_659
18f-≈ì¬±v≈ì‚â§6-bp [drug],intervention_660
chloroquine phosphate tablets [drug],intervention_661
no intervention - exposure is to covid-19 [other],intervention_662
interferon-‚àö√º-1a [drug],intervention_663
serology test [biological],intervention_664
ng biotech [diagnostic test],intervention_665
nasopharyngeal swab [biological],intervention_666
rectal swab [biological],intervention_667
saliva sample [biological],intervention_668
inc424 / ruxolitinib [drug],intervention_669
neuromuscular electrical stimulation [other],intervention_670
physical therapy exercise [other],intervention_671
rapid onsite covid-19 detection [device],intervention_672
atazanavir [drug],intervention_673
daclatasvir [drug],intervention_674
sofusbuvir [drug],intervention_675
placebo atazanavir [drug],intervention_676
placebo daclatasvir [drug],intervention_677
placebo sofusbuvir [drug],intervention_678
placebo favipiravir [drug],intervention_679
intermittent prone positioning instructions [behavioral],intervention_680
usual care positioning with no instructions [behavioral],intervention_681
no intervention planned due to the observational study design - only a diagnostic testing [diagnostic test],intervention_682
"covid-19 test, polymerase chain reaction for sars-cov-2 [diagnostic test]",intervention_683
drugs and supportive care [other],intervention_684
defibrotide injection [drug],intervention_685
pulmozyme/ recombinant human deoxyribonuclease (rh-dnase) [drug],intervention_686
0.9%sodium chloride [drug],intervention_687
vitalconnect vital sign patch [diagnostic test],intervention_688
routine standard of care [other],intervention_689
bnt162b3 [biological],intervention_690
cognitive and behavioral intervention. [behavioral],intervention_691
problem-solving and relationship improvement intervention. [behavioral],intervention_692
"covid-19 igg/igm rapid test cassette test (healgen scientific, houston, texas, usa) [diagnostic test]",intervention_693
